TransactionID;CustomerID;Products;Timestamp
1;C546;Dish Sponge, Flatbread with Meat, Chips, Orange, Butter, Sausage, Cucumber, Rice, Ice Cream;18/02/2025
2;C385;Onion, Juice, Flatbread with Meat, Chicken;26/04/2025
3;C292;Egg, Flatbread with Meat, Banana, Pizza;25/04/2025
4;C863;Ice Cream, Soda, Orange, Potato, Cereal, Chocolate, Cracker;14/01/2025
5;C171;Ice Cream, Soap, Shampoo, Chicken, Banana, Beans, Cheese;20/04/2025
6;C605;Juice, Shampoo, Bread, Flatbread with Meat, Cracker, Cucumber, Fish;21/02/2025
7;C215;Soda, Chocolate, Beans, Juice, Orange, Bread, Tomato, Yogurt, Minced Meat;01/01/2025
8;C831;Cookie, Cereal, Sausage, Chips, Chocolate, Lentil, Water, Egg, Cheese;17/01/2025
9;C919;Soda, Rice, Soap, Chickpeas;24/01/2025
10;C512;Orange, Minced Meat, Chickpeas;30/04/2025
11;C767;Milk, Minced Meat, Chips, Chicken, Onion, Cheese, Chickpeas, Cereal;22/03/2025
12;C453;Dish Sponge, Onion, Detergent, Egg, Chicken;02/03/2025
13;C572;Sausage, Strawberry, Cracker, Pizza;09/02/2025
14;C964;Cereal, Minced Meat, Banana, Dish Sponge, Orange;28/01/2025
15;C237;Yogurt, Dish Sponge, Butter, Cookie;12/01/2025
16;C220;Potato, Chicken, Cucumber, Soda, Butter, Juice;28/02/2025
17;C977;Minced Meat, Cereal, Flatbread with Meat, Onion, Honey, Lentil, Cucumber, Orange, Cola, Ice Cream;27/03/2025
18;C55;Flatbread with Meat, Juice, Cola;04/04/2025
19;C357;Cracker, Sausage, Dumpling, Cookie, Detergent, Chickpeas, Pizza, Banana, Cereal;09/01/2025
20;C737;Cracker, Chicken, Tomato, Cola, Shampoo, Cookie, Minced Meat, Yogurt;18/03/2025
21;C334;Lentil, Chicken, Yogurt, Onion;09/04/2025
22;C943;Minced Meat, Ice Cream, Soap, Cookie;10/03/2025
23;C478;Tomato, Apple, Ice Cream, Honey, Fish, Soda, Yogurt;14/03/2025
24;C239;Dish Sponge, Minced Meat, Cola, Juice, Flatbread with Meat;01/01/2025
25;C404;Strawberry, Egg, Juice, Pizza, Beans, Chickpeas, Cheese, Cola, Minced Meat, Cracker;22/03/2025
26;C36;Chocolate, Flatbread with Meat, Detergent, Shampoo, Cucumber, Cola, Sausage, Cheese, Potato;29/03/2025
27;C113;Pizza, Bread, Potato, Beans, Butter, Cracker, Chips, Rice, Minced Meat;07/03/2025
28;C252;Lentil, Cola, Shampoo, Juice, Strawberry, Bread, Onion, Cucumber;02/02/2025
29;C175;Fish, Potato, Cereal, Cookie;23/01/2025
30;C97;Banana, Cheese, Chocolate, Butter, Milk, Minced Meat, Honey, Soda, Cereal;29/03/2025
